loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,revol_util,total_acc
7200,36,0.1016,232.87,B,< 1 year,RENT,245000.0,Fully Paid,house,3.29,0,0.37,17
12000,60,0.15100001,286.11,C,2 years,MORTGAGE,72200.0,Fully Paid,credit_card,9.11,0,0.322,43
15000,36,0.121199995,499.08,B,2 years,RENT,60100.0,Fully Paid,credit_card,21.3,0,0.764,29
21000,60,0.121199995,468.41,B,< 1 year,MORTGAGE,100000.0,Fully Paid,home_improvement,10.02,0,0.628,26
6950,36,0.1368,236.46,C,,OWN,33532.0,Charged Off,home_improvement,25.98,0,0.85300004,16
16000,36,0.20799999,601.16,E,10+ years,MORTGAGE,84000.0,Fully Paid,debt_consolidation,4.76,2,0.535,41
17000,60,0.1433,398.48,C,2 years,RENT,40000.0,Fully Paid,debt_consolidation,18.75,0,0.343,30
10000,36,0.106400006,325.69,B,6 years,MORTGAGE,32000.0,Fully Paid,credit_card,18.94,0,0.379,25
8000,36,0.1155,264.0,B,4 years,MORTGAGE,70000.0,Fully Paid,credit_card,13.45,1,0.866,31
10275,36,0.0735,318.91,A,10+ years,MORTGAGE,87000.0,Fully Paid,credit_card,16.0,2,0.564,12
35000,36,0.1299,1179.12,B,10+ years,OWN,225000.0,Fully Paid,debt_consolidation,10.75,1,0.899,23
5600,60,0.17559999,140.87,E,4 years,MORTGAGE,48000.0,Fully Paid,major_purchase,7.54,1,0.30200002,4
28000,60,0.2198,773.02,E,< 1 year,MORTGAGE,125000.0,Fully Paid,home_improvement,13.99,3,0.45599997,35
8400,36,0.119899996,278.97,B,9 years,MORTGAGE,95000.0,Fully Paid,debt_consolidation,8.68,4,0.734,21
4200,36,0.1042,136.36,B,2 years,RENT,150000.0,Fully Paid,other,7.64,0,0.371,16
16000,36,0.0967,513.8,B,2 years,RENT,55000.0,Fully Paid,credit_card,15.04,0,0.608,39
20000,36,0.1875,730.6,D,8 years,RENT,90000.0,Fully Paid,debt_consolidation,34.04,0,0.687,28
12000,60,0.20799999,323.3,E,7 years,RENT,37000.0,Fully Paid,major_purchase,32.53,0,0.833,16
15825,36,0.3065,677.45,F,,MORTGAGE,49818.84,Fully Paid,home_improvement,23.97,0,0.571,36
3500,36,0.119899996,116.24,B,3 years,RENT,24000.0,Charged Off,credit_card,2.5,1,0.3,8
17625,36,0.158,617.91,C,10+ years,MORTGAGE,70000.0,Fully Paid,debt_consolidation,23.85,0,0.583,53
20000,36,0.088999994,635.07,A,< 1 year,RENT,100262.0,Fully Paid,debt_consolidation,7.71,0,0.545,19
17000,60,0.1299,386.72,B,,MORTGAGE,51400.0,Charged Off,debt_consolidation,33.62,0,0.629,38
9600,36,0.094399996,307.25,B,1 year,MORTGAGE,55000.0,Fully Paid,debt_consolidation,25.83,0,0.27,21
15000,60,0.1409,349.73,B,3 years,MORTGAGE,130000.0,Charged Off,home_improvement,24.42,0,0.833,42
20000,60,0.2582,596.68,E,10+ years,RENT,43500.0,Charged Off,credit_card,17.9,0,0.406,7
4800,36,0.094399996,153.63,B,10+ years,MORTGAGE,88000.0,Fully Paid,other,21.81,0,0.641,14
10000,36,0.1262,335.12,C,2 years,RENT,53000.0,Fully Paid,debt_consolidation,22.33,0,0.67,10
8000,36,0.1531,278.54,C,3 years,MORTGAGE,96644.0,Charged Off,debt_consolidation,13.22,0,0.809,19
2000,36,0.1042,64.93,B,1 year,RENT,31000.0,Fully Paid,car,16.76,0,0.774,27
12000,36,0.1433,412.06,C,7 years,MORTGAGE,100000.0,Fully Paid,debt_consolidation,18.19,1,0.667,25
2500,36,0.086,79.04,A,1 year,MORTGAGE,104000.0,Fully Paid,debt_consolidation,18.99,0,0.234,46
28850,36,0.0925,920.79,A,10+ years,RENT,65000.0,Fully Paid,debt_consolidation,29.11,0,0.91300005,17
14700,60,0.16780001,363.6,C,10+ years,RENT,72000.0,Fully Paid,debt_consolidation,5.77,1,0.49400002,28
3000,36,0.079,93.88,A,3 years,MORTGAGE,75000.0,Fully Paid,credit_card,9.09,1,0.175,30
11000,36,0.1065,358.31,B,10+ years,MORTGAGE,82500.0,Fully Paid,debt_consolidation,15.19,0,0.44599998,23
8000,36,0.119899996,265.68,B,< 1 year,RENT,40000.0,Fully Paid,debt_consolidation,4.41,0,0.414,7
25000,60,0.1065,539.21,B,10+ years,MORTGAGE,75000.0,Fully Paid,debt_consolidation,6.88,0,0.59599996,18
28000,60,0.22950001,788.53,F,9 years,RENT,75000.0,Fully Paid,credit_card,12.73,1,0.569,33
10000,36,0.119899996,332.1,B,1 year,OWN,30000.0,Fully Paid,other,28.64,1,0.533,16
28000,36,0.1311,944.92,B,10+ years,MORTGAGE,119000.0,Fully Paid,debt_consolidation,11.52,0,0.95,48
5000,36,0.119899996,166.05,B,10+ years,RENT,43477.0,Fully Paid,other,18.47,0,1.0040001,7
10000,36,0.1602,351.67,C,3 years,RENT,70000.0,Charged Off,debt_consolidation,26.01,0,0.39400002,18
12250,36,0.16290002,432.43,C,8 years,OWN,43000.0,Fully Paid,debt_consolidation,17.36,0,0.688,34
21000,36,0.1311,708.69,B,2 years,MORTGAGE,120000.0,Fully Paid,debt_consolidation,13.58,1,0.739,33
